timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-18T03:22:22,codecarbon,5a6c3393-e7f5-47a0-ad95-1b2fe4fcefcd,0.0051906108856201,9.572219339394151e-11,1.844141190762861e-08,27.0,0.0,2.6685261726379395,3.7103891372680674e-08,0,3.162574493842385e-09,4.0266465866523054e-08,Canada,CAN,quebec,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,-71.2,46.8,7.116069793701172,machine,N,1.0
2024-04-18T03:22:28,codecarbon,9f5ce1bb-25ae-4bb1-b63d-39b40a6c8a9f,0.0070636272430419,1.3499744809755135e-10,1.9111632515791407e-08,27.0,0.0,2.6685261726379395,5.1927566528320324e-08,0,4.8604148493798975e-09,5.6787981377700206e-08,Canada,CAN,quebec,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,-71.2,46.8,7.116069793701172,machine,N,1.0
2024-04-18T03:22:33,codecarbon,95a27208-a49f-48e1-a08c-ad058dc7fb09,0.0052521228790283,2.5958080940324884e-08,4.942397871911044e-06,27.0,0.0,2.6685261726379395,3.771364688873291e-08,0,3.268612196904997e-09,4.098225908563791e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
2024-04-18T03:22:37,codecarbon,4e8eab63-322a-40a0-86b6-7a82ddd6f6a2,0.0043210983276367,2.086711928883825e-08,4.829123918652142e-06,27.0,0.0,2.6685261726379395,3.0416250228881834e-08,0,2.528469029527969e-09,3.29447192584098e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
2024-04-18T03:22:43,codecarbon,f0885ba9-d93e-40aa-a322-3ab943c4546f,0.0047876834869384,8.85119109452256e-11,1.8487419059070943e-08,27.0,0.0,2.6685261726379395,3.421962261199951e-08,0,3.01376825054452e-09,3.723339086254403e-08,Canada,CAN,quebec,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,-71.2,46.8,7.116069793701172,machine,N,1.0
2024-04-18T03:22:48,codecarbon,026f9d85-aba5-4bf1-b79c-c7738204afad,0.0050592422485351,2.4379038181469737e-08,4.8187133534727255e-06,27.0,0.0,2.6685261726379395,3.54677438735962e-08,0,3.021544348769112e-09,3.84892882223653e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
2024-04-18T03:22:54,codecarbon,118408f1-ead9-4410-9e79-f6a3ecc70cbb,0.014420747756958,2.7770863240794206e-10,1.9257575063952413e-08,27.0,0.0,2.6685261726379395,1.0668396949768065e-07,0,1.0136850953775442e-08,1.1682082045145609e-07,Canada,CAN,quebec,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,-71.2,46.8,7.116069793701172,machine,N,1.0
2024-04-18T03:22:58,codecarbon,8d992fed-a0d1-42a9-8038-d4f58c7f4a32,0.0046029090881347,2.2130970364611263e-08,4.808039859327178e-06,27.0,0.0,2.6685261726379395,3.2241940498352045e-08,0,2.6981293544281475e-09,3.494006985278019e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
2024-04-18T03:23:03,codecarbon,8c5582a7-adf6-46d0-888c-66c7199a9d85,0.002155065536499,1.0472571906984231e-08,4.859514353330191e-06,27.0,0.0,2.6685261726379395,1.5268921852111817e-08,0,1.265029797536954e-09,1.6533951649648772e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
2024-04-18T03:23:04,codecarbon,13979ed0-d3c5-47c6-bf83-d6d7bb7e816b,0.0041687488555908,2.110199143617132e-08,5.061948360806353e-06,27.0,0.0,2.6685261726379395,3.05253267288208e-08,0,2.790205426587514e-09,3.331553215540831e-08,India,IND,telangana,,,Linux-6.5.0-27-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,,,78.4378,17.3724,7.116069793701172,machine,N,1.0
